ds,yhat,yhat_lower,yhat_upper
2023-12-23,441.10194369466785,129.34974207609753,757.4770548708776
2023-12-24,467.447747703403,146.28218982362353,805.4190483258081
2023-12-25,439.6515086479645,97.67071587237307,755.4756100063361
2023-12-26,453.1185368819727,132.57446701167285,790.7306783024115
2023-12-27,424.2833548338282,87.20786828832134,754.0603052088969
2023-12-28,466.880407137381,121.65050910737563,815.1886447901263
2023-12-29,407.89515869499246,96.92753002856861,745.2296198932521
2023-12-30,410.17184827616575,91.76453940734825,730.4446031520798
2023-12-31,435.636136381779,122.87150000839826,743.4776118433849
2024-01-01,407.7545658104434,75.74606086697187,730.0006180826354
2024-01-02,421.8868105174485,87.88735951172904,743.2147541991178
2024-01-03,394.40742620599207,56.31289259388796,724.3747153274311
2024-01-04,438.9782775205381,90.18562482462107,773.3157497794368
2024-01-05,382.501561862046,71.29256231790445,716.2602186647518
2024-01-06,387.7296526996309,66.24693664853655,718.2625320513762
2024-01-07,416.5450846994059,89.53487983888782,743.0239410655048
2024-01-08,392.2569024833646,72.69664029921431,716.5037129056398
2024-01-09,410.12060107183,86.93334058988205,754.7514045930848
2024-01-10,386.4070265466221,72.76091574785899,726.1210931127738
2024-01-11,434.67701761105434,90.02663537669903,757.1402481187979
2024-01-12,381.73653692352485,44.02755871041944,714.1402782925647
2024-01-13,390.2484770665669,84.75186404537682,700.1440168751943
2024-01-14,421.9592992816076,92.74072609834137,719.6884298406535
2024-01-15,400.16234633020173,61.770028510535454,729.9458244457314
2024-01-16,420.0537327961928,116.36414943709835,748.6541116981874
2024-01-17,397.8574599064276,52.61240266659967,733.3200212892302
2024-01-18,447.1008702604474,134.2141219810816,788.5891846296931
2024-01-19,394.57031070901326,51.271091993054426,687.6287676647203
2024-01-20,402.9231828247698,82.34643319292806,734.1424007139001
2024-01-21,433.91453876745163,107.91618155704917,777.8377820515723
2024-01-22,410.860068558981,73.80033163849637,727.1169991800859
2024-01-23,428.99139154242306,82.1568343325042,754.8109565040394
2024-01-24,404.58031312759806,48.58169383997702,729.8479107755911
2024-01-25,451.2131805429609,102.1408464473909,759.2658988111764
2024-01-26,395.745228110168,82.64107558662825,714.8942509950816
2024-01-27,400.941809507,103.20990746111664,731.2049382213063
2024-01-28,428.6112431156073,90.7092907987643,759.5583862932699
2024-01-29,402.1580697334929,72.56924177383148,743.712961850256
2024-01-30,416.9057479360093,84.20235037065042,740.7237328558782
2024-01-31,389.21894467969656,39.04080838092736,741.9688659092591
2024-02-01,432.77589963420735,115.27217737138922,762.1515990269376
2024-02-02,374.5207913099753,63.11806245531449,702.3744065183713
2024-02-03,377.2723478731053,53.76097327615884,723.5587122667525
2024-02-04,402.94692651492954,60.26982798353065,719.0361073137836
2024-02-05,375.0179750069086,24.58365901405191,705.6890890389587
2024-02-06,388.8678562841119,68.1141805776887,709.3993187474459
2024-02-07,360.9087645839298,-12.705462883501975,676.2064021514288
2024-02-08,404.8539324680538,83.45904481309843,732.4144446183976
2024-02-09,347.6690819480028,6.698395031019787,696.3521959988645
2024-02-10,352.180383672194,23.371235771824196,684.2546787123279
2024-02-11,380.29716454286256,43.15579874663028,753.1556464513698
2024-02-13,373.04920022249024,42.99946278656945,711.6203696358265
2024-02-15,398.1542250566126,82.27607711090845,736.0731312158014
2024-02-16,346.22286315269395,30.5511137267631,655.0439401056834
2024-02-17,356.39005234292057,22.206296751557954,678.8902252415843
2024-02-18,390.4210371126404,75.91883730213672,728.5359614324539
2024-02-19,371.66629507217175,61.415143860763074,709.5267376328438
2024-02-20,395.36570581459125,81.47136894022155,734.7276519503359
2024-02-21,377.772112850045,64.31836749039653,722.4348839278679
2024-02-22,432.42556936715704,112.3671483880953,778.8091178126551
2024-02-23,386.10816484518614,33.82526839139782,719.2247637744543
2024-02-24,401.4556321012439,76.03278313673258,733.5848096562073
2024-02-25,440.1839036619341,108.53223924522958,769.0774268365684
2024-02-26,425.5524652906589,94.0564809295302,747.4735407896849
2024-02-27,452.7204119918417,106.82777511211314,765.8354062446884
2024-02-28,437.8718510902624,102.56425250340902,760.7927579498061
2024-02-29,494.49176093605996,143.09343060477755,798.9002968346355
2024-03-01,449.322162542885,112.15058034343022,777.5061650357588
